Fullmetal Alchemist: Brotherhood,Fantasy,9.24
Hunter x Hunter,Adventure,9.12
Dragon Ball Z,Supernatural,8.28
JoJo's Bizarre Adventure: Stardust Crusaders,Adventure,8.25
One Piece,Adventure,8.53
Naruto: Shippuuden,Adventure,8.20
